split_id,bin,bin_left,bin_right,n,mean_pred,frac_pos
34,4,0.4,0.5,2,0.45923310235186565,0.0
34,5,0.5,0.6000000000000001,0,,
34,6,0.6000000000000001,0.7000000000000001,0,,
34,7,0.7000000000000001,0.8,0,,
34,8,0.8,0.9,1,0.8170361892053281,1.0
34,9,0.9,1.0,5,0.972000665087559,1.0
35,0,0.0,0.1,7,0.0395084225587248,0.14285714285714285
35,1,0.1,0.2,2,0.10338953698977754,0.0
35,2,0.2,0.30000000000000004,0,,
35,3,0.30000000000000004,0.4,0,,
35,4,0.4,0.5,1,0.48170692144079946,1.0
35,5,0.5,0.6000000000000001,0,,
35,6,0.6000000000000001,0.7000000000000001,0,,
35,7,0.7000000000000001,0.8,0,,
35,8,0.8,0.9,2,0.8521861720451991,1.0
35,9,0.9,1.0,2,0.9908523340574298,1.0
36,0,0.0,0.1,3,0.0094819418369759,0.0
36,1,0.1,0.2,3,0.15634219016980147,0.0
36,2,0.2,0.30000000000000004,1,0.2054558226705449,0.0
36,3,0.30000000000000004,0.4,0,,
36,4,0.4,0.5,0,,
36,5,0.5,0.6000000000000001,1,0.5679465411244097,1.0
36,6,0.6000000000000001,0.7000000000000001,0,,
36,7,0.7000000000000001,0.8,0,,
36,8,0.8,0.9,0,,
36,9,0.9,1.0,6,0.9799929923102807,1.0
37,0,0.0,0.1,5,0.03302265305396709,0.0
37,1,0.1,0.2,1,0.14592329122092906,0.0
37,2,0.2,0.30000000000000004,0,,
37,3,0.30000000000000004,0.4,1,0.3707701686840594,0.0
37,4,0.4,0.5,0,,
37,5,0.5,0.6000000000000001,1,0.5604684616089517,0.0
37,6,0.6000000000000001,0.7000000000000001,0,,
37,7,0.7000000000000001,0.8,1,0.7879696808461933,1.0
37,8,0.8,0.9,0,,
37,9,0.9,1.0,5,0.9509386579410771,1.0
38,0,0.0,0.1,9,0.028674997798954334,0.1111111111111111
38,1,0.1,0.2,0,,
38,2,0.2,0.30000000000000004,0,,
38,3,0.30000000000000004,0.4,1,0.3363894099988677,1.0
38,4,0.4,0.5,0,,
38,5,0.5,0.6000000000000001,0,,
38,6,0.6000000000000001,0.7000000000000001,0,,
38,7,0.7000000000000001,0.8,0,,
38,8,0.8,0.9,1,0.864448137107947,1.0
38,9,0.9,1.0,3,0.9409405318290078,1.0
39,0,0.0,0.1,6,0.022932582887580513,0.0
39,1,0.1,0.2,1,0.11705639935601393,0.0
